Name,Layer,Status,Wants,Notes,Latitude,Longitude,Google Maps
CDG,Paris logistics,locked,logistics,Home 30 Sep,49.0097,2.5479,https://maps.google.com/?q=CDG+airport
Pasticceria Regoli,Rome food,want,bakery,"Esquilino, Via dello Statuto 60. Crema / fragoline tart. Open 7am–7pm; closed Tue.",41.8948568,12.5009038,https://maps.google.com/?q=Pasticceria+Regoli+Via+dello+Statuto+60+Roma
Pasticceria Linari,Rome food,want,bakery,"Testaccio, Via Nicola Zabaglia 9. Neighborhood pastry shop.",41.8794409,12.4747319,https://maps.google.com/?q=Pasticceria+Linari+Via+Nicola+Zabaglia+9+Roma
Le Levain (Trastevere),Rome food,want,bakery,Via Luigi Santini 22. Until 8pm. Second shop pinned at Sallustiano.,41.8871605,12.4686423,https://maps.google.com/?q=Le+Levain+Via+Luigi+Santini+22+Roma
Le Levain (Sallustiano),Rome food,want,bakery,Via Piave 8. Same bakery; until 8pm.,41.9082449,12.4985360,https://maps.google.com/?q=Le+Levain+Via+Piave+8+Roma
Caffè Doria,Rome food,want,cafe,"Palazzo Doria Pamphilj, Via della Gatta 1. 9am–9pm.",41.8968239,12.4806459,https://maps.google.com/?q=Caffe+Doria+Via+della+Gatta+Roma
Love Specialty Croissants,Rome food,want,bakery,"Prati / Vatican, Via Tunisi 51. 7:30am–3:30pm.",41.9092161,12.4520341,https://maps.google.com/?q=Love+Specialty+Croissants+Via+Tunisi+51+Roma
Hostaria Dino Express,Rome food,want,restaurant,"Prati, Via Tacito 80. Your notes: strawberry tart; brioche whipped-cream bun. Trattoria — confirm those items are on this menu.",41.9064602,12.4679697,https://maps.google.com/?q=Hostaria+Dino+Express+Via+Tacito+80+Roma
Trattoria Da Teo,Rome food,want,restaurant,"Trastevere, Piazza dei Ponziani 7A. Pasta spot. Open until 11pm.",41.8884952,12.4776744,https://maps.google.com/?q=Trattoria+Da+Teo+Piazza+dei+Ponziani+Roma
Da Meo Patacca,Rome food,want,restaurant,"Trastevere, Piazza dei Mercanti 30. Pasta; party vibe (live music / period costumes).",41.8867408,12.4769362,https://maps.google.com/?q=Da+Meo+Patacca+Piazza+dei+Mercanti+Roma
al42 (Via Baccina),Rome food,want,restaurant,"Monti, Via Baccina 42. Carbonara €12. 7–9:30pm (also lunch ~12:30–3:30). Closed Tue.",41.8947485,12.4896716,https://maps.google.com/?q=al42+Via+Baccina+42+Roma
Il Maritozzaro,Rome food,want,bakery,"Porta Portese / Trastevere edge, Via Ettore Rolli 50. Whipped-cream brioche (maritozzo). Mon 7pm–midnight; 24h every other day.",41.8732370,12.4672739,https://maps.google.com/?q=Il+Maritozzaro+Via+Ettore+Rolli+50+Roma
Pompi (Via della Croce),Rome food,want,dessert,"Near Spanish Steps, Via della Croce 82/88. Takeaway tiramisu ~€5. 10am–10pm.",41.9064040,12.4804667,https://maps.google.com/?q=Pompi+Via+della+Croce+Roma
Poldo e Gianna Osteria,Rome food,want,restaurant,"Near Parliament, Vicolo Rosini 6/7. Ridiculously good-looking carbonara. Mapped from “Polio e Gianna”.",41.9022406,12.4772636,https://maps.google.com/?q=Poldo+e+Gianna+Osteria+Roma
Giuffrè Forno & Gelato,Rome food,want,bakery,Viale di Trastevere 255. Cornetto with berries.,41.8755766,12.4660286,https://maps.google.com/?q=Giuffre+Forno+Gelato+Viale+Trastevere+255+Roma
Casa Manco (Testaccio Market),Rome food,want,pizza,"Nuovo Mercato di Testaccio, Via Aldo Manuzio 66C Box 22. Zucchini-blossom pizza. 9:30am–3pm (typically closed Sun). Mapped from “Cara Manco”.",41.8777050,12.4740166,https://maps.google.com/?q=Casa+Manco+Mercato+Testaccio+Roma
Ravello village streets,Amalfi activity,want,activity,Get lost in the streets of the village.,40.6492,14.6119,https://maps.google.com/?q=Ravello+Italy
Villa Cimbrone,Amalfi activity,want,activity,Ravello. Place to visit; gardens and Terrace of Infinity.,40.6433311,14.6104390,https://maps.google.com/?q=Villa+Cimbrone+Ravello
Villa Rufolo,Amalfi activity,want,activity,Ravello. Place to visit; gardens and views over the coast.,40.6486747,14.6126631,https://maps.google.com/?q=Villa+Rufolo+Ravello
Belvedere Principessa di Piemonte,Amalfi activity,want,activity,Ravello viewpoint.,40.6504541,14.6131463,https://maps.google.com/?q=Belvedere+Principessa+di+Piemonte+Ravello
Auditorium Oscar Niemeyer,Amalfi activity,want,activity,Ravello. Cinema / auditorium.,40.6509248,14.6143562,https://maps.google.com/?q=Auditorium+Oscar+Niemeyer+Ravello
Atrani,Amalfi activity,want,activity,Small village between Ravello and Amalfi; very nice; easy walk from Amalfi.,40.6369080,14.6075410,https://maps.google.com/?q=Atrani+Italy
Belvedere di San Lorenzo,Amalfi activity,want,activity,Amalfi. You can go up by lift — ask the locals. Pin near Via Matteo Camera (lift area).,40.6336854,14.6011709,https://maps.google.com/?q=Via+Matteo+Camera+Amalfi
Duomo di Amalfi,Amalfi activity,want,activity,Duomo + Chiostro del Paradiso. Get lost in the streets of the village.,40.6344650,14.6034364,https://maps.google.com/?q=Duomo+di+Amalfi
Chiostro del Paradiso,Amalfi activity,want,activity,With the Duomo di Amalfi.,40.6347427,14.6030515,https://maps.google.com/?q=Chiostro+del+Paradiso+Amalfi
Spiaggia di Duoglio,Amalfi activity,want,activity,Beautiful beach; quick boat trip from Amalfi’s port.,40.6260621,14.5882511,https://maps.google.com/?q=Spiaggia+Duoglio+Amalfi
Positano village streets,Amalfi activity,want,activity,"Get lost in the streets; many art galleries, shops and boutiques.",40.6280,14.4850,https://maps.google.com/?q=Positano
Praiano beach + walkway,Amalfi activity,want,activity,Small beach in Praiano. There is also a panoramic walkway but I don’t know if it is still open.,40.6139823,14.5205197,https://maps.google.com/?q=Praiano+beach
Fiordo di Furore,Amalfi activity,want,activity,Visit the Fiordo di Furore.,40.6145694,14.5548536,https://maps.google.com/?q=Fiordo+di+Furore
Spiaggia di Laurito,Amalfi activity,want,activity,Positano. Beach for Da Adolfo; arrive by a quick boat trip.,40.6223559,14.5071471,https://maps.google.com/?q=Spiaggia+Laurito+Positano
Borgo di Marina Grande,Amalfi activity,want,activity,Sorrento. Place to visit.,40.6274993,14.3656272,https://maps.google.com/?q=Marina+Grande+Sorrento
Chiostro di San Francesco,Amalfi activity,want,activity,Sorrento. Place to visit; also get lost in the streets of the village.,40.6279169,14.3732145,https://maps.google.com/?q=Chiostro+San+Francesco+Sorrento
Bagni Regina Giovanna,Amalfi activity,want,activity,Small beach near Sorrento; very natural and wild.,40.6341821,14.3512086,https://maps.google.com/?q=Bagni+Regina+Giovanna+Sorrento
Baia di Ieranto,Amalfi activity,want,activity,Small beach near Sorrento; very natural and wild. Pair with Nerano lunch.,40.5740414,14.3404103,https://maps.google.com/?q=Baia+di+Ieranto
Belmond Hotel Caruso (aperitif),Amalfi food,want,aperitif,Ravello. Aperitif at the Belmond Hotel Caruso (high budget but very suggestive). Hotel also a stay candidate.,40.6515290,14.6130683,https://maps.google.com/?q=Belmond+Hotel+Caruso+Ravello
Pasticceria Andrea Pansa,Amalfi food,want,bakery,Amalfi (mapped from Andrea Panza). Try Delizia al limone — typical; source does not like it but wanted you informed.,40.6342017,14.6027531,https://maps.google.com/?q=Pasticceria+Pansa+Piazza+Duomo+Amalfi
Sal De Riso,Amalfi food,want,bakery,Minori (small village near Amalfi). Preferred pasticceria. Try the cornetto and the Asia cake.,40.6495220,14.6274104,https://maps.google.com/?q=Sal+De+Riso+Minori
Trattoria da Gemma,Amalfi food,want,restaurant,Amalfi. Lunch/dinner; not expensive but very yummy.,40.6343615,14.6023681,https://maps.google.com/?q=Trattoria+da+Gemma+Amalfi
Terrace 17 (Hotel Marina Riviera),Amalfi food,want,restaurant,Amalfi. Beautiful lunch/dinner at Terrace 17 of Hotel Marina Riviera. Hotel also a stay candidate.,40.6333008,14.6063095,https://maps.google.com/?q=Hotel+Marina+Riviera+Amalfi
Hotel Santa Caterina restaurant,Amalfi food,want,restaurant,Amalfi. Another wonderful lunch/dinner at the hotel restaurant. Hotel also a stay candidate.,40.6295034,14.5929357,https://maps.google.com/?q=Hotel+Santa+Caterina+Amalfi
Franco's Bar,Amalfi food,want,aperitif,Positano (Le Sirenuse). Aperitif; beautiful view and sunset; favorite aperitif.,40.6287732,14.4876265,https://maps.google.com/?q=Franco%27s+Bar+Le+Sirenuse+Positano
Terrazza Celè,Amalfi food,want,aperitif,Positano (Hotel Marincanto). Aperitif.,40.6278999,14.4899773,https://maps.google.com/?q=Terrazza+Cele+Hotel+Marincanto+Positano
Casa e Bottega,Amalfi food,want,restaurant,Positano. Perfect for lunch.,40.6285345,14.4882254,https://maps.google.com/?q=Casa+e+Bottega+Positano
Villa Treville restaurant,Amalfi food,want,restaurant,Positano. Dinner at the restaurant of Villa Treville. Hotel also a stay candidate.,40.6258,14.4815,https://maps.google.com/?q=Villa+Treville+Positano
Ristorante Franchino,Amalfi food,want,restaurant,Praiano. Dinner; favorite restaurant of the Costiera; ask to stay outside.,40.6124547,14.5383670,https://maps.google.com/?q=Ristorante+Franchino+Praiano
La Serra (Hotel Le Agavi),Amalfi food,want,restaurant,Positano. Restaurant La Serra of Hotel Agavi. Hotel also a stay candidate.,40.6264079,14.4789164,https://maps.google.com/?q=Hotel+Le+Agavi+Positano
Da Adolfo,Amalfi food,want,restaurant,Beach + restaurant at Spiaggia di Laurito in Positano; arrive by a quick boat trip.,40.6223385,14.5074176,https://maps.google.com/?q=Da+Adolfo+Positano
Vista Sky Bar,Amalfi food,want,aperitif,Sorrento. Aperitif option (Vista Palazzo / Piazza Tasso area).,40.6261712,14.3758124,https://maps.google.com/?q=Vista+Sky+Bar+Sorrento
Maison La Minervetta (aperitif),Amalfi food,want,aperitif,Sorrento. Aperitif. Hotel also a stay candidate.,40.6243373,14.3660733,https://maps.google.com/?q=Maison+La+Minervetta+Sorrento
Bellevue Syrene (aperitif),Amalfi food,want,aperitif,Sorrento. Aperitif; favorite one; beautiful view. Hotel also a stay candidate.,40.6275089,14.3708729,https://maps.google.com/?q=Bellevue+Syrene+Sorrento
Trattoria da Emilia,Amalfi food,want,restaurant,Sorrento. Try the gnocchetti.,40.6276040,14.3668887,https://maps.google.com/?q=Trattoria+da+Emilia+Sorrento
O' Parrucchiano,Amalfi food,want,restaurant,Sorrento (mapped from O Parruchiano). Ask to stay under the lemon trees.,40.6251035,14.3717743,https://maps.google.com/?q=O+Parrucchiano+Sorrento
Casa Tua,Amalfi food,want,restaurant,Sorrento. Vico Secondo Fuoro 8.,40.6251083,14.3703772,https://maps.google.com/?q=Casa+Tua+Sorrento
Marameo Beach Club,Amalfi food,want,beach club,Sorrento beach club; beautiful sea.,40.6282148,14.3722830,https://maps.google.com/?q=Marameo+Beach+Club+Sorrento
Leonelli's Beach,Amalfi food,want,beach club,Sorrento beach club; beautiful sea.,40.6281928,14.3715325,https://maps.google.com/?q=Leonelli+Beach+Sorrento
Ristorante Mariagrazia,Amalfi food,want,restaurant,Nerano. Pasta alla Nerano (must). Prefer lunch here so you can also enjoy the beautiful beach nearby.,40.5838022,14.3563707,https://maps.google.com/?q=Ristorante+Mariagrazia+Nerano
Tommaso allo Scoglio,Amalfi food,want,restaurant,Nerano. Pasta alla Nerano (must). Prefer lunch here so you can also enjoy the beautiful beach nearby.,40.5838022,14.3563707,https://maps.google.com/?q=Tommaso+allo+Scoglio+Nerano
Belmond Hotel Caruso,Amalfi stay,want,accommodation,Ravello. High-budget hotel; aperitif very suggestive.,40.6515290,14.6130683,https://maps.google.com/?q=Belmond+Hotel+Caruso+Ravello
Hotel Marina Riviera,Amalfi stay,want,accommodation,Amalfi. Terrace 17 for lunch/dinner.,40.6333008,14.6063095,https://maps.google.com/?q=Hotel+Marina+Riviera+Amalfi
Hotel Santa Caterina,Amalfi stay,want,accommodation,Amalfi. Wonderful lunch/dinner at the hotel restaurant.,40.6295034,14.5929357,https://maps.google.com/?q=Hotel+Santa+Caterina+Amalfi
Villa Treville,Amalfi stay,want,accommodation,Positano. Dinner at the hotel restaurant.,40.6258,14.4815,https://maps.google.com/?q=Villa+Treville+Positano
Hotel Le Agavi,Amalfi stay,want,accommodation,Positano. Restaurant La Serra.,40.6264079,14.4789164,https://maps.google.com/?q=Hotel+Le+Agavi+Positano
Maison La Minervetta,Amalfi stay,want,accommodation,Sorrento. Aperitif here.,40.6243373,14.3660733,https://maps.google.com/?q=Maison+La+Minervetta+Sorrento
Bellevue Syrene,Amalfi stay,want,accommodation,Sorrento. Favorite aperitif; beautiful view.,40.6275089,14.3708729,https://maps.google.com/?q=Bellevue+Syrene+Sorrento
Villa San Michele,Capri activity,want,activity,Anacapri. Beautiful ancient villa.,40.5572717,14.2250447,https://maps.google.com/?q=Villa+San+Michele+Anacapri
Villa Lysis,Capri activity,want,activity,Capri. Beautiful ancient villa.,40.5592207,14.2597682,https://maps.google.com/?q=Villa+Lysis+Capri
Villa Torricella,Capri activity,want,activity,"Beautiful ancient villa (private; admire from sea / hillside paths near Marina Grande, Via Marina Grande).",40.5520258,14.2418172,https://maps.google.com/?q=Villa+Torricella+Capri
Giardini di Augusto,Capri activity,want,activity,Gardens of Augustus.,40.5470184,14.2432052,https://maps.google.com/?q=Giardini+di+Augusto+Capri
La Piazzetta,Capri activity,want,activity,Famous Piazzetta (Piazza Umberto I).,40.5507450,14.2427857,https://maps.google.com/?q=Piazza+Umberto+I+Capri
Via Camerelle,Capri activity,want,activity,Walk Via Camerelle.,40.5497279,14.2465441,https://maps.google.com/?q=Via+Camerelle+Capri
Via Tragara / Faraglioni view,Capri activity,want,activity,Walk Via Tragara; at the end you can see the famous Faraglioni.,40.5479289,14.2492224,https://maps.google.com/?q=Via+Tragara+Capri
Arco Naturale,Capri activity,want,activity,Walk to the Arco Naturale.,40.5503906,14.2568063,https://maps.google.com/?q=Arco+Naturale+Capri
Faro di Punta Carena,Capri activity,want,activity,Anacapri. Lighthouse; you can also swim and have a beautiful aperitif at sunset.,40.5362882,14.1988233,https://maps.google.com/?q=Faro+di+Punta+Carena
Grotta Azzurra,Capri activity,want,activity,Visit the Blue Grotto by boat.,40.5609387,14.2057363,https://maps.google.com/?q=Grotta+Azzurra+Capri
Da Aldo (panini),Capri food,want,restaurant,Lunch; panini near the port (Marina Grande).,40.5520258,14.2418172,https://maps.google.com/?q=Da+Aldo+Capri+Marina+Grande
Da Paolino,Capri food,want,restaurant,Favorite restaurant in Capri.,40.5578318,14.2326992,https://maps.google.com/?q=Da+Paolino+Capri
Lo Zodiaco,Capri food,want,restaurant,Favorite restaurant in Capri. Pin near Via Roma / town; confirm exact location.,40.5499711,14.2398574,https://maps.google.com/?q=Lo+Zodiaco+Capri
Villa Margherita,Capri food,want,restaurant,Favorite restaurant in Capri.,40.5499711,14.2398574,https://maps.google.com/?q=Villa+Margherita+Capri
Da Tonino,Capri food,want,restaurant,Favorite restaurant in Capri.,40.5487492,14.2528510,https://maps.google.com/?q=Da+Tonino+Capri
La Fontelina,Capri food,want,beach club,Favorite beach club.,40.5438256,14.2510806,https://maps.google.com/?q=La+Fontelina+Capri
Da Luigi ai Faraglioni,Capri food,want,beach club,Favorite beach club.,40.5434213,14.2526679,https://maps.google.com/?q=Da+Luigi+ai+Faraglioni+Capri
Bagni Tiberio,Capri food,want,beach club,Favorite beach club. Pin near Marina Grande / Tiberio baths.,40.5545,14.2370,https://maps.google.com/?q=Bagni+Tiberio+Capri
Torre Saracena,Capri food,want,beach club,Favorite beach club; also beautiful to have lunch here. Pin near Marina Piccola.,40.5452085,14.2344048,https://maps.google.com/?q=Torre+Saracena+Capri
Capri Rooftop,Capri food,want,aperitif,"Aperitif (also for dopocena). Hotel Luna, near Giardini di Augusto.",40.5472219,14.2438858,https://maps.google.com/?q=Capri+Rooftop+Hotel+Luna
Faro di Punta Carena (aperitif),Capri food,want,aperitif,Sunset aperitif at the lighthouse; can also swim.,40.5362882,14.1988233,https://maps.google.com/?q=Faro+di+Punta+Carena
American Bar Monzù,Capri food,want,aperitif,Hotel Punta Tragara. Aperitif.,40.5452722,14.2505217,https://maps.google.com/?q=Hotel+Punta+Tragara+Capri
Il Riccio,Capri food,want,restaurant,"Aperitif (Capri Palace, Anacapri).",40.5558923,14.2221337,https://maps.google.com/?q=Il+Riccio+Capri+Palace
Hotel Punta Tragara,Capri stay,want,accommodation,American Bar Monzù for aperitif.,40.5452722,14.2505217,https://maps.google.com/?q=Hotel+Punta+Tragara+Capri
Hotel Luna (Capri Rooftop),Capri stay,want,accommodation,Capri Rooftop aperitif / dopocena.,40.5472219,14.2438858,https://maps.google.com/?q=Hotel+Luna+Capri
Capri Palace (Il Riccio),Capri stay,want,accommodation,Anacapri. Il Riccio aperitif.,40.5558923,14.2221337,https://maps.google.com/?q=Capri+Palace+Anacapri
